Participant,Interaction,Hand,Bone,X,Y,Z,Time
3,1,L,b_l_wrist,-0.03777289,2.033719,-0.185701,17.2481
3,1,L,b_l_forearm_stub,-0.03777289,2.033719,-0.185701,17.2481
3,1,L,b_l_thumb0,-0.03978416,2.059044,-0.1867284,17.2481
3,1,L,b_l_thumb1,-0.0529553,2.080115,-0.1863171,17.2481
3,1,L,b_l_thumb2,-0.06287732,2.110896,-0.1896621,17.2481
3,1,L,b_l_thumb3,-0.0703236,2.143839,-0.1885232,17.2481
3,1,L,b_l_index1,-0.03623321,2.124616,-0.1462207,17.2481
3,1,L,b_l_index2,-0.03135241,2.155298,-0.1244655,17.2481
3,1,L,b_l_index3,-0.02675731,2.17666,-0.1138253,17.2481
3,1,L,b_l_middle1,-0.01733072,2.114896,-0.1393326,17.2481
3,1,L,b_l_middle2,-0.009100932,2.146126,-0.1110538,17.2481
3,1,L,b_l_middle3,-0.002428599,2.168418,-0.09630448,17.2481
3,1,L,b_l_ring1,0.0001450349,2.104465,-0.1436125,17.2481
3,1,L,b_l_ring2,0.007528713,2.132435,-0.1174622,17.2481
3,1,L,b_l_ring3,0.01305041,2.152843,-0.1013635,17.2481
3,1,L,b_l_pinky0,-0.006050161,2.058515,-0.1731515,17.2481
3,1,L,b_l_pinky1,0.01617643,2.092787,-0.1527707,17.2481
3,1,L,b_l_pinky2,0.02521,2.112687,-0.1311802,17.2481
3,1,L,b_l_pinky3,0.03288535,2.128933,-0.1217092,17.2481
3,1,L,l_thumb_finger_tip_marker,-0.0830491,2.16477,-0.1910039,17.2481
3,1,L,l_index_finger_tip_marker,-0.0220502,2.19428,-0.1008386,17.2481
3,1,L,l_middle_finger_tip_marker,0.002752743,2.185121,-0.07844959,17.2481
3,1,L,l_ring_finger_tip_marker,0.01657209,2.170047,-0.08445042,17.2481
3,1,L,l_pinky_finger_tip_marker,0.03894514,2.146656,-0.1102505,17.2481
3,1,R,b_r_wrist,0.2028821,2.030119,-0.1717642,17.2481
3,1,R,b_r_forearm_stub,0.2028821,2.030119,-0.1717642,17.2481
3,1,R,b_r_thumb0,0.2103335,2.05389,-0.1666805,17.2481
3,1,R,b_r_thumb1,0.2244349,2.073896,-0.1623729,17.2481
3,1,R,b_r_thumb2,0.2348474,2.104695,-0.1626855,17.2481
3,1,R,b_r_thumb3,0.2427353,2.137225,-0.1580376,17.2481
3,1,R,b_r_index1,0.2185674,2.107349,-0.111656,17.2481
3,1,R,b_r_index2,0.2180052,2.140015,-0.09239218,17.2481
