Participant,Interaction,Difficulty,Accidental,Thought Process,Video Notes
1,1,2,2,"pulling down something, ie projector screen board, similar motion",Both hands sliding down as if drawing blind
1,2,2,2,pushed it away as if to get rid of it,Waved away with right hand
1,3,1,2,"go to button, pointed at button, pointing activated play",Pointed at play button with right index finger
1,4,1,2,"go to button, pointed at button, pointing activated pause",Pointed at play button with right index finger
1,5,2,4,"laptops/ phones, swiping through things is the same motion he used for skipping as in swiping through to a different song",Pointed at album covers with index and swiped to left
1,6,2,4,"laptops/ phones, swiping through things is the same motion he used for skipping as in swiping through to a different song, this time in the reverse direction",Pointed at album covers with index and swiped to right
1,7,3,2,"raised up to make louder, up increases sound","Raised both hands, palms facing up"
1,8,3,4,"downward motion with hand, to make music go down","Lowered right hand, palm facing down"
1,9,1,2,pointed at it to select it,Pointed at red square with index finger
1,10,1,3,"keep finger held on square, press down on triangle to also select that",Pointed at red square with left hand and triange with right
1,11,3,2,editing on desktop etc uses a similar gesture to create a box to select all items,Pointed at top left corner and dragged diagonally down to right
1,12,2,2,"same as before, but for whole document so encapsulated all in box",Pointed at top left corner and dragged diagonally down to right
1,13,5,2,"to put things together you can slap them together, clap represents unity in a way",Clapped with both hands
1,14,6,1,"ungroup is a double clap, so a repeat of previous motion but twice to undo it",Clapped twice with both hands
1,15,6,1,double punch to copy as punch onto page is paste,Punching motion twice towards menu with right hand
1,16,2,1,"cut icon is a pair of scissor, therefore created scissor motion with hand/ fingers",Made scissors motion with right hand
1,17,2,2,"punch/slap it on ie pasting, as you would to stick something to a surface",Punching motion once towards menu with right hand
1,18,3,2,"whiteboard - wiping it away to get rid of it, similar motion","Wiping motion as if rubbing chalk off chalkboard, right hand"
1,19,3,3,"swipe back motion, closest motion to going backwards, to undo","Swiped to left with right index, similar to next song"
1,20,2,2,pull it towards him motion ie reach out and pull object back,"Using both hands, gestured towards body"
1,21,5,4,spinning motion with hand ,Using both hands held the object and spun on axis
1,22,5,2,spinning motion with hand on opposite axis,Using both hands held the object and spun on axis
1,23,5,2,spinning motion with hand on opposite axis,Using both hands held the object and spun on axis
